Review_en,text_clean,food_rating,service_rating,atmosphere_rating,sentiment
"Food delicious and impressed with the staff service. They go all the way out to help customers' needs. A place where I will definitely visit againGroup size 1 person, 2 people, 3-4 people, 5-8 people, 9+ peopleWait timeUp to 10 minutes",food delicious and impressed with the staff service. they go all the way out to help customer needs. a place where i will definitely visit again,,,,positive
"Food tasted good, menu has a lot of varieties that other places don't have, price quite reasonable, staff also very attentive and friendly Seating typeIndoor dining area","food tasted good, menu have alot of varieties that other places dont have, price quite reasonable, staffs also very attentive and friendly",5.0,5.0,5.0,positive
Taste good & nice service!,taste good & nice service! will come again,5.0,5.0,5.0,positive
Good food good service,good food good service,5.0,5.0,5.0,positive
"The food we ordered came fast even with the high volume of customers they had.Everything was perfect.The food was delicious and the portion was big, their service was great as they paid great attention to their customers.For birthdays, you get a selection of their free dish and that was nice too.For each RM50 spent, they will treat you to a free scoop of ice cream of the day.The outlet manager was so nice that he allowed us to trade one ice cream for a matcha ice cream.They had a dining time limit when we went. You can only spend 1.5 hours but that was enough for us. Understandable as their table turnover was high.Group sizeSuitable for all group sizes Wait timeNo wait parking spacePark parking optionsPlentyPaidPaid Street","went here to celebrate birthday and their food and service was top notch. the food we ordered came fast even with the high volume of customers they had.everything was perfect. the food was delicious and the portion was big, their service was great as they gave high attention to their customers.for birthdays, you get a selection of their free dish and that too was nice. for each rm50 spent, they will treat you to a free scoop of ice cream of the day. the outlet manager was so nice that he allowed us to trade one ice cream to a matcha ice cream.they had dining time limit when we went. you can only spend 1.5 hours but that was sufficient for us. understandable as their table turnover was high.",5.0,5.0,5.0,positive
"Good food and clean environment, prompt and polite service from staff.",good food and clean environment. prompt and polite service from staff.,4.0,4.0,5.0,positive
Great place for Japanese food in Melaka.,great place for japanese food in melaka.,5.0,5.0,5.0,positive
"Best Japanese restaurant in Melaka. Served the best sashimi and unique dishes with chef specialty menu. New dish wagyu skewers are amazing. Recommended dishesButa Bara Konabe Tonkotsu Paste, Dragon Roll, Ika Geso Karaage, Salmon Teriyaki Jyu, Anago Tempura, Salmon Sushi with Truffle Sauce, Assorted Sushi and Maki, Grilled Shioyaki SalmonReservationReservations not requiredNoise levelQuiet, easy to talkGroup size1 person, 2 people, 3-4 people, 5-8 people, 9+ people, Suitable for all group sizesSitting typeIndoor dining area, Counter seating, Private dining room",the best japanese restaurant in melaka. served the best sashimi and unique dishes with chefs specialty menu. new dish wagyu skewers are amazing.,5.0,5.0,5.0,positive
"The food was good, the staff were very nice, also a big thank you to the staff named Jamson. He provided excellent service and was especially kind and helpful in assisting our grandfather with his wheelchair in and out. We really appreciated his care and professionalism. Def will go there again to try other food choices:)","the food was good, staff were very nice, also a big thanks to the staff named jamson. he provided excellent service and was especially kind and helpful in assisting our grandfather with his",4.0,5.0,5.0,positive
"Above average ""serve all"" type of Japanese restaurantExcellent serviceGood recall on booking made Group size2 peopleWait timeNo wait","above average ""serve all"" type of japanese restaurantexcellent servicegood recall on booking made",4.0,4.0,3.0,positive
