Review,food_rating,service_rating,atmosphere_rating,Review_clean,Review_en,sentiment
"Food delicious and impressed with the staff service. They go all the way out to help customer needs. A place where I will definitely visit againGroup size1 person, 2 people, 3-4 people, 5-8 people, 9+ peopleWait timeUp to 10 min",,,,"Food delicious and impressed with the staff service. They go all the way out to help customer needs. A place where I will definitely visit againGroup size1 person, 2 people, 3-4 people, 5-8 people, 9+ peopleWait timeUp to 10 min","Food delicious and impressed with the staff service. They go all the way out to help customers' needs. A place where I will definitely visit againGroup size 1 person, 2 people, 3-4 people, 5-8 people, 9+ peopleWait timeUp to 10 minutes",positive
"Food tasted good, menu have alot of varieties that other places dont have, price quite reasonable, staffs also very attentive and friendlyFood: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Seating typeIndoor dining area",5.0,5.0,5.0,"Food tasted good, menu have alot of varieties that other places dont have, price quite reasonable, staffs also very attentive and friendly Seating typeIndoor dining area","Food tasted good, menu has a lot of varieties that other places don't have, price quite reasonable, staff also very attentive and friendly Seating typeIndoor dining area",positive
Taste good & nice service! Will come againFood: 5/5  |  Service: 5/5  |  Atmosphere: 5/5,5.0,5.0,5.0,Taste good & nice service! Will come again,Taste good & nice service!,positive
Good food good serviceFood: 5/5  |  Service: 5/5  |  Atmosphere: 5/5,5.0,5.0,5.0,Good food good service,Good food good service,positive
"Went here to celebrate birthday and their food and service was top notch. The food we ordered came fast even with the high volume of customers they had.Everything was perfect. The food was delicious and the portion was big, their service was great as they gave high attention to their customers.For birthdays, you get a selection of their free dish and that too was nice. For each RM50 spent, they will treat you to a free scoop of ice cream of the day. The outlet manager was so nice that he allowed us to trade one ice cream to a matcha ice cream.They had dining time limit when we went. You can only spend 1.5 hours but that was sufficient for us. Understandable as their table turnover was high.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Group sizeSuitable for all group sizesWait timeNo waitParking spacePlenty of parkingParking optionsPaid street parking",5.0,5.0,5.0,"Went here to celebrate birthday and their food and service was top notch. The food we ordered came fast even with the high volume of customers they had.Everything was perfect. The food was delicious and the portion was big, their service was great as they gave high attention to their customers.For birthdays, you get a selection of their free dish and that too was nice. For each RM50 spent, they will treat you to a free scoop of ice cream of the day. The outlet manager was so nice that he allowed us to trade one ice cream to a matcha ice cream.They had dining time limit when we went. You can only spend 1.5 hours but that was sufficient for us. Understandable as their table turnover was high. Group sizeSuitable for all group sizesWait timeNo waitParking spacePlenty of parkingParking optionsPaid street parking","The food we ordered came fast even with the high volume of customers they had.Everything was perfect.The food was delicious and the portion was big, their service was great as they paid great attention to their customers.For birthdays, you get a selection of their free dish and that was nice too.For each RM50 spent, they will treat you to a free scoop of ice cream of the day.The outlet manager was so nice that he allowed us to trade one ice cream for a matcha ice cream.They had a dining time limit when we went. You can only spend 1.5 hours but that was enough for us. Understandable as their table turnover was high.Group sizeSuitable for all group sizes Wait timeNo wait parking spacePark parking optionsPlentyPaidPaid Street",positive
Good food and clean environment. Prompt and polite service from staff.Food: 4/5  |  Service: 4/5  |  Atmosphere: 5/5,4.0,4.0,5.0,Good food and clean environment. Prompt and polite service from staff.,"Good food and clean environment, prompt and polite service from staff.",positive
Great place for Japanese food in Melaka.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5,5.0,5.0,5.0,Great place for Japanese food in Melaka.,Great place for Japanese food in Melaka.,positive
"The Best Japanese restaurant in Melaka. Served the best sashimi and unique dishes with chefs specialty menu. New dish wagyu skewers are amazing.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Recommended dishesButa Bara Konabe Tonkotsu Paste, Dragon Roll, Ika Geso Karaage, Salmon Teriyaki Jyu, Anago Tempura, Salmon Sushi with Truffle Sauce, Assorted Sushi and Maki, Grilled Shioyaki SalmonReservationReservations not requiredNoise levelQuiet, easy to talkGroup size1 person, 2 people, 3-4 people, 5-8 people, 9+ people, Suitable for all group sizesSeating typeIndoor dining area, Counter seating, Private dining room",5.0,5.0,5.0,"The Best Japanese restaurant in Melaka. Served the best sashimi and unique dishes with chefs specialty menu. New dish wagyu skewers are amazing. Recommended dishesButa Bara Konabe Tonkotsu Paste, Dragon Roll, Ika Geso Karaage, Salmon Teriyaki Jyu, Anago Tempura, Salmon Sushi with Truffle Sauce, Assorted Sushi and Maki, Grilled Shioyaki SalmonReservationReservations not requiredNoise levelQuiet, easy to talkGroup size1 person, 2 people, 3-4 people, 5-8 people, 9+ people, Suitable for all group sizesSeating typeIndoor dining area, Counter seating, Private dining room","Best Japanese restaurant in Melaka. Served the best sashimi and unique dishes with chef specialty menu. New dish wagyu skewers are amazing. Recommended dishesButa Bara Konabe Tonkotsu Paste, Dragon Roll, Ika Geso Karaage, Salmon Teriyaki Jyu, Anago Tempura, Salmon Sushi with Truffle Sauce, Assorted Sushi and Maki, Grilled Shioyaki SalmonReservationReservations not requiredNoise levelQuiet, easy to talkGroup size1 person, 2 people, 3-4 people, 5-8 people, 9+ people, Suitable for all group sizesSitting typeIndoor dining area, Counter seating, Private dining room",positive
"The food was good, staff were very nice, also a big thanks to the staff named Jamson. He provided excellent service and was especially kind and helpful in assisting our grandfather with his wheelchair in and out. We truly appreciated his care and professionalism. Def will go there again to try other food choices:)Food: 4/5  |  Service: 5/5  |  Atmosphere: 5/5",4.0,5.0,5.0,"The food was good, staff were very nice, also a big thanks to the staff named Jamson. He provided excellent service and was especially kind and helpful in assisting our grandfather with his wheelchair in and out. We truly appreciated his care and professionalism. Def will go there again to try other food choices:)","The food was good, the staff were very nice, also a big thank you to the staff named Jamson. He provided excellent service and was especially kind and helpful in assisting our grandfather with his wheelchair in and out. We really appreciated his care and professionalism. Def will go there again to try other food choices:)",positive
"Above average ""serve all"" type of Japanese restaurantExcellent serviceGood recall on booking madeFood: 4/5  |  Service: 4/5  |  Atmosphere: 3/5Group size2 peopleWait timeNo wait",4.0,4.0,3.0,"Above average ""serve all"" type of Japanese restaurantExcellent serviceGood recall on booking made Group size2 peopleWait timeNo wait","Above average ""serve all"" type of Japanese restaurantExcellent serviceGood recall on booking made Group size2 peopleWait timeNo wait",positive
Food: 5/5  |  Service: 5/5  |  Atmosphere: 4/5ReservationReservations recommendedNoise levelModerate noise,5.0,5.0,4.0,ReservationReservations recommendedNoise levelModerate noise,ReservationRecommended reservationsNoise levelModerate noise,neutral
"Hokkaido don is a real disappointment. RM82 is not cheap. But SO MUCH rice and very little sashimi and uni (sea urchin). Sashimi-type of scallop should be sweet tasting but the scallops they have, totally TASTELESS. First time tasting such a tasteless sashimi. No freshness. No taste. Sashimi salmon was average. Uni is little until very pathetic, but taste of it is ok. Just too little for this pricing. Disappointment.Ordered their nabeyaki udon too. It came with pork shabu which is not bad. Usually it comes chicken but this place dont put chicken in. They put pork shabu slices.Their yusheng for chinese new year is not bad. Maybe cause the sweet sauce with the yusheng ingredients...Chawanmushi is pricey too. RM12 for a normal small portion with very usual ingredients inside.Sanma fish too fishy taste too.Food: 3/5  |  Service: 3/5  |  Atmosphere: 3/5Group sizeSuitable for all group sizesWait timeNo wait",3.0,3.0,3.0,"Hokkaido don is a real disappointment. RM82 is not cheap. But SO MUCH rice and very little sashimi and uni (sea urchin). Sashimi-type of scallop should be sweet tasting but the scallops they have, totally TASTELESS. First time tasting such a tasteless sashimi. No freshness. No taste. Sashimi salmon was average. Uni is little until very pathetic, but taste of it is ok. Just too little for this pricing. Disappointment.Ordered their nabeyaki udon too. It came with pork shabu which is not bad. Usually it comes chicken but this place dont put chicken in. They put pork shabu slices.Their yusheng for chinese new year is not bad. Maybe cause the sweet sauce with the yusheng ingredients...Chawanmushi is pricey too. RM12 for a normal small portion with very usual ingredients inside.Sanma fish too fishy taste too. Group sizeSuitable for all group sizesWait timeNo wait","Hokkaido don is a real disappointment. RM82 is not cheap. But SO MUCH rice and very little sashimi and uni (sea urchin). Sashimi-type scallop should be sweet tasting but the scallops they have, totally TASTELESS. First time tasting such a tasteless sashimi. No freshness. No taste. Sashimi salmon was average. Uni is small until very pathetic, but taste of it is ok. Just too little for this pricing. Disappointment. Ordered their nabeyaki udon too. It came with pork shabu which is not bad. Usually it comes with chicken but this place does not put in.",negative
Very nice ambient. Food is fabulous and value for moneyFood: 5/5  |  Service: 5/5  |  Atmosphere: 5/5,5.0,5.0,5.0,Very nice ambient. Food is fabulous and value for money,Very nice environment. Food is fabulous and value for money,positive
Food: 1/5  |  Service: 2/5  |  Atmosphere: 2/5,1.0,2.0,2.0,,This is not the case.,negative
Still good for a quick bit of Japanese foodFood: 5/5  |  Service: 5/5  |  Atmosphere: 4/5Group size5-8 peopleSeating typeIndoor dining area,5.0,5.0,4.0,Still good for a quick bit of Japanese food Group size5-8 peopleSeating typeIndoor dining area,Still good for a quick bite of Japanese food Group size 5-8 people Seating typeIndoor dining area,positive
"Food: 4/5  |  Service: 4/5  |  Atmosphere: 4/5Noise levelQuiet, easy to talkWait timeNo wait",4.0,4.0,4.0,"Noise levelQuiet, easy to talkWait timeNo wait","Noise level Quiet, easy to talkWait timeNo wait",positive
Svc excellent. Food n beverage 12 likes .. I like their unagi udon. Melting in d mouth. Must try..Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5,5.0,5.0,5.0,Svc excellent. Food n beverage 12 likes .. I like their unagi udon. Melting in d mouth. Must try..,"I like their unagi udon, melting in my mouth.",positive
"Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Group size3-4 peopleSeating typeIndoor dining area, Booth seating, Counter seatingParking spaceSomewhat difficult to find parkingParking optionsFree of charge parking lot, Free of charge street parking, Free of charge parking garage",5.0,5.0,5.0,"Group size3-4 peopleSeating typeIndoor dining area, Booth seating, Counter seatingParking spaceSomewhat difficult to find parkingParking optionsFree of charge parking lot, Free of charge street parking, Free of charge parking garage","Group size 3-4 people Seating typeIndoor dining area, Booth seating, Counter seatingParking spaceSome difficult to findParking optionsFree parking lot,Free street parking,Free parking garage",neutral
Très bonne cuisine avec des spécialités qu’on ne trouve pas habituellement..Ambiance zenTrès bon service …More,,,,Très bonne cuisine avec des spécialités qu’on ne trouve pas habituellement..Ambiance zenTrès bon service,Very good cuisine with specialties you don't usually find..Zen ambiance Very good service,positive
"The dining experience was very enjoyable, and a huge part of that was thanks to Hui Xin. I was served by Hui Xin on three separate occasions. Her customer service was absolutely top-notch, and she was able to take my special request orders correctly every time. She also paid great attention to detail and she was very proactive. Will definitely come back in the future.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Noise levelQuiet, easy to talk",5.0,5.0,5.0,"The dining experience was very enjoyable, and a huge part of that was thanks to Hui Xin. I was served by Hui Xin on three separate occasions. Her customer service was absolutely top-notch, and she was able to take my special request orders correctly every time. She also paid great attention to detail and she was very proactive. Will definitely come back in the future. Noise levelQuiet, easy to talk","The dining experience was very enjoyable, and a huge part of that was thanks to Hui Xin. I was served by Hui Xin on three separate occasions. Her customer service was absolutely top-notch, and she was able to take my special request orders correctly every time. She also paid great attention to detail and she was very proactive. She will definitely come back in the future. Noise level Quiet, easy to talk",positive
Food: 4/5  |  Service: 5/5  |  Atmosphere: 5/5,4.0,5.0,5.0,,This is not the case.,positive
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5ReservationReservations recommendedGroup sizeSuitable for all group sizes,5.0,5.0,5.0,ReservationReservations recommendedGroup sizeSuitable for all group sizes,ReservationReservations recommendedGroup sizeSuitable for all group sizes,positive
超好吃！很喜欢那个taco，很美味！而且酒第二杯半价，很推荐！,,,,超好吃！很喜欢那个taco，很美味！而且酒第二杯半价，很推荐！,"I love that taco, it's delicious! And a second glass of wine, half price, I highly recommend!",positive
Nice authentic Japanese cuisine to dine in Melaka. Food is heavenly & worth the wait. Queue is long like unagi if you don’t book in advance:-)Food: 5/5  |  Service: 4/5  |  Atmosphere: 5/5Group size3-4 peopleSeating typeIndoor dining area,5.0,4.0,5.0,Nice authentic Japanese cuisine to dine in Melaka. Food is heavenly & worth the wait. Queue is long like unagi if you don’t book in advance:-) Group size3-4 peopleSeating typeIndoor dining area,Nice authentic Japanese cuisine to dine in Melaka. Food is heavenly & worth the wait. Queue is long like unagi if you don't book in advance:-) Group size3-4 people Seating typeIndoor dining area,positive
