name,author,rating,text,date
Tien Seng,,4,"I had a great time here! The food was pretty good, especially the fried items that were crispy and flavorful. 🍤 The staff were super friendly and attentive, making the visit really pleasant. 😊 The atmosphere was nice and comfortable too. Definitely a good spot for a meal! 🍣✨",2026-06-10T13:57:52.302Z
Wei Sheng Soon,,5,,2026-06-07T12:49:53.978Z
YU RU TEO,,4,,2026-06-07T01:17:50.801Z
之家爱,,1,我吃过最难吃的sushi mentai,2026-06-04T10:06:30.258Z
Gtf,,1,"My experience at this restaurant was quite disappointing. 😟 Upon entering, despite no queue, I was informed there was no Wi-Fi to order. 📶 It was frustrating to be told I had to use my own phone to place an order. 😠 The lack of basic service was a major drawback. 🤦‍♀️",2026-06-03T09:48:57.737Z
y91 vivo,,2,,2026-06-01T12:19:18.269Z
Claire Ting,,1,,2026-06-01T10:35:17.551Z
Lynnz Yahya,,5,,2026-05-23T02:37:25.572Z
Gimkeong Ong,,5,,2026-05-13T02:08:23.828Z
Zareena Aurora,,5,,2026-05-12T12:00:13.254Z
11 Britney,,2,食物的品控有得加强，东西做到很难看。 我叫我了寿司很久都没来 我去问了服务业他说没有看到寿司已经摆放在那里了 然后才拿给我 人手不够也是大问题,2026-05-07T07:37:43.313Z
Jen Yee,,3,"如果当天sold out的食材 可以先在顾客进门的时候给予一个通知 而不是点餐后才告知没有这个食材 这个服务还能保持在4.1🌟 是很奇迹的事情

那么多个员工都在做着讲话 没有通知 唯独一个在第二轮点餐的时候 通知我们没有salmon 拜托 服务可以更好",2026-05-06T10:23:00.753Z
ng Michael ng,,5,,2026-05-04T11:45:17.285Z
siti norsyafiqah,,5,,2026-05-03T00:24:10.534Z
Shellyn Yong,,4,,2026-04-22T06:53:22.796Z
Li Chieh Tan,,5,"I have been here many many times already. In my mind, Sushi Mentai is the best CP value Japanese sushi shop in Melaka. Always my go-to shop when I crave Japanese food. The food is delicious and at a reasonable price. The sushi has a lot of variety, really fulfilling and delicious. The service also very good, the workers are very diligent, hardworking and fast in movement.
Just one comment...the sauce plates some times still have soy sauce stains. However overall 10/10",2026-04-19T13:24:12.876Z
Alon Alydrose,,5,,2026-04-17T10:11:57.371Z
Chee Wei Tey,,5,每天都多人。,2026-04-05T10:12:25.840Z
Penhog Hedge,,1,"Used to be my favourite place to eat sushi. I don't mind they raise their price. But they also lower their quality. The sushi belt no longer have real sushi. It is mostly filled with fried eggs, fried potato. All the salmon and other fish have to be order from their QR. Then it needs more than 10 minutes just to serve my salmon. The worker are often looking grumpy. Whenever I try to call them for count plate and ask where's my QR order sushi, they will ignore me and only staring at the floor.",2026-04-03T05:04:56.871Z
Chee How,,1,"一位服务员华人uncle态度需要改善一下，
对小孩子很不友善 ！",2026-03-28T13:07:05.604Z
Explore,,3,"Food just average, sitting arrangement a bit narrow for me, a bit hard to get parking, but just wonder why always see the que waiting for the sitting. For me, it's just average
Servicing crew just serve what is basic, lack of the Japanese feel",2026-03-26T12:07:53.128Z
Shally Chong,,4,,2026-03-12T14:48:45.336Z
Suong Pham,,4,Hopefully the restaurant will clean the tableware before serving customers; many dishes are still not thoroughly washed!,2026-03-10T06:56:22.825Z
Mun mun Winchester,,5,,2026-03-08T12:09:57.169Z
Mypoolcafe 2,,1,,2026-03-08T05:18:37.674Z
Claire Hoo,,1,一间旋卷寿司店 要order salmon 结果全部都没有 来10次 9次没有 也不公告提早说没有 吃饭mood 都没有了啦,2026-03-07T07:51:02.801Z
陆陆,,5,,2026-02-21T17:13:39.642Z
Jia Ying Lee,,2,"Visited the restaurant near closing time. Staff said it was ‘last call’. Unfortunately, the food came out stone cold and prepared very carelessly, portions looked rushed, no attention to detail. I understand it’s the end of service, but if accepting one more order means the quality drops this much, it’s better to stop accepting customer. Paid for a proper meal but got a poor experience. Hope they improve this",2026-02-14T01:32:58.051Z
J “thebluemanintheforest” Nob,,2,Unbelievable staff.,2026-01-22T05:07:18.697Z
Cheong Wan Ning,,1,"Horrible chicken is not even cooked properly, fried food is soggy",2026-01-19T12:31:00.297Z
Brian,,5,,2026-01-10T11:39:16.803Z
Eric Lee Chee Siong,,5,Reasonable price and the portion of the main dish are a lot.,2026-01-06T08:08:57.096Z
Dr. Alex Quah,,5,,2025-12-28T10:58:56.132Z
Lovely Szb,,4,Menu 被藏起来，很多独特的sushi都说没有，选择少有点失望😞,2025-12-24T08:15:04.657Z
Nicky Thum,,5,,2025-12-20T14:04:00.159Z
Paul Lim,,4,"Sushies r delicious & affordable but the hotae rice is very normal, used to be tasty",2025-12-11T00:34:41.529Z
Joan,,5,,2025-12-10T13:21:37.882Z
ian abd,,5,"fast service, as always, affordable",2025-12-10T07:26:38.644Z
Luke Lim,,5,"A good variety of Sushi, with affordable prices. Worth to visit.",2025-12-07T05:21:49.487Z
jiazhu,,4,,2025-12-05T12:07:38.105Z
拽拽,,1,一进店服务员甩水到我身上 没道歉就算了还在那边跟其他人笑 不知道是没注意还是怎样 然后叫服务员叫半天不来 在那边不懂聊什么笑那么开心 食物上来更是“惊喜” 盘碗杯全部都是plastic的 每天那么多人来 没有钱？ 买不起碗？没有空？那么多服务员 洗不来碗？也就你的东西便宜才会那么多人来吧 服务是差的要死,2025-11-30T09:52:36.246Z
yong alice,,3,卫生条件嘛 总感觉桌子 酱料瓶等公用物品黏黏糊糊的。位子和邻座很靠近 难免会吵到。餐点大不如前 选择也变少了 品质嘛就so so。价格是亲民的啦！,2025-11-30T06:52:33.168Z
"Datuk Anthony Adam Cho, JP",,5,"Food prices is very reasonable. Due to huge crowd, services may be compromised. Food quality is good.",2025-11-09T09:38:04.517Z
CK Teh,,5,,2025-11-02T10:42:16.910Z
SH lI,,3,"Not consistent
Sometimes sushi rice undercook sometimes sushi rice too much
Service became less interactive
Ordering set meal using QR
Ordering sushi not on belt using paper sheets. Before pay need to ask for calculate exact amount of plates.
Affordable Japanese sushi restaurant is becoming more to compete.",2025-10-31T10:32:40.377Z
Kuppan Ravi Chandran,,5,,2025-10-27T22:50:31.947Z
M I N Shinoda,,5,,2025-10-23T02:23:26.642Z
Cheenyen Ong,,5,,2025-10-20T15:52:16.752Z
Lim Ming Yang,,4,,2025-10-20T07:26:03.109Z
steward tan,,4,"Good place, need to q, good price, value for money, over the years, quality well controlled. Still worth to revisit.",2025-10-17T13:28:26.557Z
Yin En Ho,,4,,2025-10-17T02:56:33.359Z
Boon Chee Tan,,2,,2025-10-14T09:16:54.881Z
ELEMENT,,5,,2025-10-14T08:00:55.265Z
Jun Hong,,5,,2025-10-13T08:05:12.601Z
Ming Zheng Lim,,5,服务态度非常的好，你进门的时候还特别有“礼貌”让你座在你的位置，手写单写好了没有人可以帮还要你自己拿去去非常的人性化，食物也是非常的好吃毛豆硬到跟石头一样还顺便锻炼牙齿了👍,2025-10-13T07:46:36.534Z
Kaithri Jiva,,2,"9pm start to close shop already..
Seri Kembangan branch is the best!",2025-10-12T14:04:38.810Z
煊皓,,5,,2025-10-07T06:36:19.950Z
How Cherry,,1,今天点了蒸水蛋 捧上来是冷的 结果吃了有点不太舒服 吐了两轮 希望日后能注意一下 🥲,2025-10-06T15:38:49.095Z
May Lim,,2,Got one botak staff very rude attitude when serve customer. Disturbing & asking customer to put the ultery for him in impolite way. More than 2 times already & suspect purposely do it. Is it the customer responsibility to do job for staff?,2025-10-06T10:43:31.299Z
陈江胜,,3,,2025-10-06T08:49:21.889Z
傅JENNY,,5,,2025-09-26T14:40:22.035Z
Hao Le Voon,,4,,2025-09-24T17:45:45.045Z
- Ducky -,,4,,2025-09-24T08:47:26.473Z
william li,,1,"Tried every outlet, first time coming to this outlet, gave me the qr code and just let myself look for the table, plate cracked at the corner. Staff wearing slippers at work, potato size is very oversize and a little undercook shown in photo below, sauce plate was so dirty, given the answer is “we use machine to wash the plate” very dirty. Ordered special sushi that is not in the menu “fried maki” at 7:15pm and was told the special maki can't be serve, only sell at morning and afternoon.  Had a very bad experience and very disappointed in the service, some staff don't even wear uniform at work",2025-09-23T12:23:48.286Z
Jo Way,,5,Always,2025-09-22T04:24:25.942Z
ng,,4,食物非常好吃，也多了很多新菜品，每个新菜品都很好吃，如果不在乎服务不在乎餐厅环境的人，可以为了他们的食物来。因为他们的服务员总是脸很黑，而且送食物上桌时总是很用力的放在桌上，好像在向我们抱怨他们的负面情绪一样😂还有就是他们收拾碗盘然后倒进盆时总是发出很大很大的动静，碗盘的碰撞声很刺耳很吵，还不是一次两次，而是很常这样。还有就是他们的卫生不太好，地上，椅子很脏，他们抹盖寿司的透明盖时，用的是同一片抹布，没看见他们去洗。,2025-09-16T20:24:31.174Z
Mike G,,5,Excellent food overall. Been here many times.,2025-09-14T19:06:03.367Z
Nataniel Hope,,5,Like it.  The decoration are nice any relaxing. You can enjoy your meal without rush. The parking area are quiet enough. They serve you friendly and your order will be fast ask they place your order systematically.,2025-09-07T07:52:31.103Z
yoonkah loh,,5,,2025-08-28T08:35:36.227Z
Andrew Yx,,4,"The food is affordable and tastes good, and I’ve been eating here for many years.
However, the staff at this branch really have very poor service attitude. They keep chatting with each other and don’t pay attention when we call them. Every time I come here, it’s the same experience… really disappointing.",2025-08-28T03:24:00.314Z
Kah Joon Lee,,5,,2025-08-21T01:57:04.968Z
steve chan,,1,不知道可以讲什么，自己去体会,2025-08-20T15:45:44.578Z
AH KENG TAN,,5,,2025-08-17T08:00:07.516Z
Aw chun kam,,5,,2025-08-15T02:16:43.069Z
小星球,,1,算错钱第二次了！,2025-08-07T08:45:22.769Z
N Yk,,5,好吃👍,2025-08-04T12:59:24.963Z
Kelvin Tay,,5,,2025-07-27T01:56:49.831Z
Angel Bong,,5,不错选择的一个用餐地点,2025-07-22T02:26:07.132Z
Goh MR,,5,,2025-07-20T22:32:57.221Z
Kee Loh Kuah,,5,,2025-07-19T14:40:48.881Z
Fong lai Alexis,,1,来两次，两次招待员样子不能看，有位了也不想让我进来，还继续让我在外面等。,2025-07-19T04:53:27.519Z
Moby,,1,服务太差了~ 点餐有没有进电脑也检查个半天进了一次居然还有漏单。出菜也能出漏一问三不知。也没有礼貌的回答。我们点8杯水只来4杯，我们礼貌的询问 他们也只是回答还有几杯还有几杯。,2025-07-16T12:46:12.005Z
Choon Ming Lee,,5,,2025-07-16T11:04:15.889Z
Amira Amin,,3,I love this sushi but take away condiment is too little.,2025-07-14T06:31:31.097Z
Ah Wen,,5,,2025-07-08T14:51:14.984Z
